Item,Year,Unit,Value,,,,,,,,,Year,Exports,Population,Per Capita Export,Area_population,Area Export
Cereals,2000,t,364.36,,,,,,,,,2000,550422.78,4503364,0.122224804,15044,1838.749944
Cereals,2001,t,2251.5,,,,,,,,,2001,468286.4,4523861,0.103514763,15029,1555.723376
Cereals,2002,t,529.8,,,,,Row Labels,Sum of Value,,,2002,482887.1,4551996,0.106082497,14883,1578.825796
Cereals,2003,t,404,,,,,2000,550422.78,,,2003,504887.7,4577207,0.110304756,14783,1630.635204
Cereals,2004,t,358.65,,,,,2001,468286.4,,,2004,526006.25,4606003,0.114200154,14777,1687.535669
Cereals,2005,t,463.9,,,,,2002,482887.1,,,2005,599655.4,4640219,0.129229978,14693,1898.776069
Cereals,2006,t,463.3,,,,,2003,504887.7,,,2006,618538.55,4681134,0.13213434,14680,1939.732106
Cereals,2007,t,365.95,,,,,2004,526006.25,,,2007,570070.5,4737171,0.120339861,14588,1755.517893
Cereals,2008,t,503.4,,,,,2005,599655.4,,,2008,540201.65,4799252,0.112559551,14460,1627.611107
Cereals,2009,t,223.1,,,,,2006,618538.55,,,2009,520564.95,4858199,0.107151838,14435,1546.736775
Cereals,2010,t,455.4,,,,,2007,570070.5,,,2010,549746.25,4920305,0.111730116,14396,1608.466755
Cereals,2011,t,1561.5,,,,,2008,540201.65,,,2011,517227.3,4985870,0.103738625,14422,1496.118455
Cereals,2012,t,1070.5,,,,,2009,520564.95,,,2012,573645.75,5051275,0.113564546,14420,1637.600747
Cereals,2013,t,355.8,,,,,2010,549746.25,,,2013,669234.9,5109056,0.130989932,14311,1874.596922
Cereals,2014,t,628.69,,,,,2011,517227.3,,,2014,806250.58,5165802,0.156074619,14285,2229.525935
Cereals,2015,t,304.25,,,,,2012,573645.75,,,2015,872577.58,5213985,0.167353297,14241,2383.278302
Cereals,2016,t,923.12,,,,,2013,669234.9,,,2016,924756.5,5258317,0.175865491,14150,2488.496695
Cereals,2017,t,1085.21,,,,,2014,806250.58,,,2017,933751.38,5295619,0.176325257,14118,2489.359975
Cereals,2018,t,1603.36,,,,,2015,872577.58,,,2018,868907.58,5328212,0.163076766,14020,2286.336255
Cereals,2019,t,1554.59,,,,,2016,924756.5,,,2019,993890.64,5367580,0.185165501,13875,2569.171327
Cereals,2020,t,1259.62,,,,,2017,933751.38,,,2020,904403.26,5391369,0.167750206,13734,2303.881328
Cereal preparations total,2000,t,9948.73,,,,,2018,868907.58,,,,,,,,
Cereal preparations total,2001,t,10630,,,,,2019,993890.64,,,,,,,,
Cereal preparations total,2002,t,9786,,,,,2020,904403.26,,,,,,,,
Cereal preparations total,2003,t,10516,,,,,(blank),,,,,,,,,
Cereal preparations total,2004,t,11333,,,,,Grand Total,13995913,,,,,,,,
Cereal preparations total,2005,t,10992,,,,,,,,,,,,,,
Cereal preparations total,2006,t,10845,,,,,,,,,,,,,,
Cereal preparations total,2007,t,11149,,,,,,,,,,,,,,
Cereal preparations total,2008,t,11002,,,,,,,,,,,,,,
Cereal preparations total,2009,t,8873,,,,,,,,,,,,,,
Cereal preparations total,2010,t,10735,,,,,,,,,,,,,,
Cereal preparations total,2011,t,9722,,,,,,,,,,,,,,
Cereal preparations total,2012,t,9368,,,,,,,,,,,,,,
Cereal preparations total,2013,t,9550,,,,,,,,,,,,,,
Cereal preparations total,2014,t,9778.62,,,,,,,,,,,,,,
Cereal preparations total,2015,t,10514.2,,,,,,,,,,,,,,
Cereal preparations total,2016,t,10869.72,,,,,,,,,,,,,,
Cereal preparations total,2017,t,12109.83,,,,,,,,,,,,,,
Cereal preparations total,2018,t,11231.1,,,,,,,,,,,,,,
Cereal preparations total,2019,t,13822.42,,,,,,,,,,,,,,
Cereal preparations total,2020,t,12909,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2000,t,4479.97,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2001,t,1199,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2002,t,684,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2003,t,160,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2004,t,2635,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2005,t,2519,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2006,t,2207,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2007,t,248,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2008,t,1004,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2009,t,765,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2010,t,1047,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2011,t,1573,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2012,t,1394,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2013,t,2460,,,,,,,,,,,,,,
Animal Fats and Oils (excl. Butter),2014,t,1494.22,,,,,,,,,,,,,,
