Item,Year,Value (tons),,,,,,,,,
Cereals,2000,310265.56,,,,Row Labels,Sum of Value (tons),Norway Population,Per Capita Imports,Area_population,Area_Imports (Tons)
Cereals,2001,387725.95,,,,2000,2946527.35,4503364,0.654294734,15044,9843.209977
Cereals,2002,449497.3,,,,2001,3150121.95,4523861,0.651330213,15029,9788.841775
Cereals,2003,448440.9,,,,2002,3428416.35,4551996,0.647304468,14883,9633.8324
Cereals,2004,331239.7,,,,2003,3638715.05,4577207,0.643739151,14783,9516.395875
Cereals,2005,218071.35,,,,2004,3363916.35,4606003,0.639714596,14777,9453.06259
Cereals,2006,354917.8,,,,2005,3253884.05,4640219,0.634997475,14693,9330.017905
Cereals,2007,528981.8,,,,2006,3791948.25,4681134,0.629447341,14680,9240.286968
Cereals,2008,594019.7,,,,2007,4430170.45,4737171,0.622001475,14588,9073.757519
Cereals,2009,389453.5,,,,2008,4672796.3,4799252,0.613955539,14460,8877.797099
Cereals,2010,546998.55,,,,2009,4183733.5,4858199,0.606506104,14435,8754.915617
Cereals,2011,563527.05,,,,2010,4962229.15,4920305,0.598850549,14396,8621.052502
Cereals,2012,722128.35,,,,2011,5320200.3,4985870,0.590975567,14422,8523.049627
Cereals,2013,727490.95,,,,2012,5843887.1,5051275,0.583323488,14420,8411.524692
Cereals,2014,667141.36,,,,2013,6057541.4,5109056,0.576726376,14311,8253.531162
Cereals,2015,484462.51,,,,2014,6005141.93,5165802,0.570391074,14285,8148.03649
Cereals,2016,410398.2,,,,2015,5758201.86,5213985,0.565120028,14241,8047.874321
Cereals,2017,387931.12,,,,2016,5615660.79,5258317,0.560355595,14150,7929.031666
Cereals,2018,660257.84,,,,2017,5644419.28,5295619,0.556408486,14118,7855.375005
Cereals,2019,628093.28,,,,2018,6457734.61,5328212,0.553004901,14020,7753.128713
Cereals,2020,437880.05,,,,2019,6477480.01,5367580,0.54894894,13875,7616.666539
Cereal preparations total,2000,118316.01,,,,2020,6312273.78,5391369,0.546526745,13734,7505.998314
Cereal preparations total,2001,117378,,,,(blank),,,,,
Cereal preparations total,2002,128237,,,,Grand Total,101314999.8,,,,
Cereal preparations total,2003,143110,,,,,,,,,
Cereal preparations total,2004,173649,,,,,,,,,
Cereal preparations total,2005,184355,,,,,,,,,
Cereal preparations total,2006,213939,,,,,,,,,
Cereal preparations total,2007,209313,,,,,,,,,
Cereal preparations total,2008,197748,,,,,,,,,
Cereal preparations total,2009,201007,,,,,,,,,
Cereal preparations total,2010,233331,,,,,,,,,
Cereal preparations total,2011,231165,,,,,,,,,
Cereal preparations total,2012,242316,,,,,,,,,
Cereal preparations total,2013,247281,,,,,,,,,
Cereal preparations total,2014,255156.31,,,,,,,,,
Cereal preparations total,2015,263306.13,,,,,,,,,
Cereal preparations total,2016,263272.1,,,,,,,,,
Cereal preparations total,2017,259575.96,,,,,,,,,
Cereal preparations total,2018,262147.56,,,,,,,,,
Cereal preparations total,2019,268522.8,,,,,,,,,
Cereal preparations total,2020,288921.82,,,,,,,,,
Animal Fats and Oils (excl. Butter),2000,12577.09,,,,,,,,,
Animal Fats and Oils (excl. Butter),2001,13789,,,,,,,,,
Animal Fats and Oils (excl. Butter),2002,15330,,,,,,,,,
Animal Fats and Oils (excl. Butter),2003,18259,,,,,,,,,
Animal Fats and Oils (excl. Butter),2004,35868,,,,,,,,,
Animal Fats and Oils (excl. Butter),2005,33914,,,,,,,,,
Animal Fats and Oils (excl. Butter),2006,26705,,,,,,,,,
Animal Fats and Oils (excl. Butter),2007,19873,,,,,,,,,
Animal Fats and Oils (excl. Butter),2008,19196,,,,,,,,,
Animal Fats and Oils (excl. Butter),2009,21071,,,,,,,,,
Animal Fats and Oils (excl. Butter),2010,21322,,,,,,,,,
Animal Fats and Oils (excl. Butter),2011,18737,,,,,,,,,
Animal Fats and Oils (excl. Butter),2012,17980,,,,,,,,,
Animal Fats and Oils (excl. Butter),2013,17788,,,,,,,,,
Animal Fats and Oils (excl. Butter),2014,18481.89,,,,,,,,,
Animal Fats and Oils (excl. Butter),2015,19091.61,,,,,,,,,
Animal Fats and Oils (excl. Butter),2016,19249.39,,,,,,,,,
Animal Fats and Oils (excl. Butter),2017,19052.23,,,,,,,,,
Animal Fats and Oils (excl. Butter),2018,19443.03,,,,,,,,,
Animal Fats and Oils (excl. Butter),2019,17941.38,,,,,,,,,
Animal Fats and Oils (excl. Butter),2020,18523.07,,,,,,,,,
Vegetable Oil and Fat,2000,40839.42,,,,,,,,,
Vegetable Oil and Fat,2001,47093,,,,,,,,,
Vegetable Oil and Fat,2002,65420,,,,,,,,,
Vegetable Oil and Fat,2003,43835,,,,,,,,,
Vegetable Oil and Fat,2004,74068,,,,,,,,,
Vegetable Oil and Fat,2005,112604,,,,,,,,,
Vegetable Oil and Fat,2006,153503,,,,,,,,,
Vegetable Oil and Fat,2007,157182,,,,,,,,,
Vegetable Oil and Fat,2008,213715,,,,,,,,,
Vegetable Oil and Fat,2009,185811,,,,,,,,,
Vegetable Oil and Fat,2010,232108,,,,,,,,,
