"","x","y"
"",124500,6915500
"",125500,6915500
"",126500,6915500
"",127500,6915500
"",124500,6914500
"",125500,6914500
"",126500,6914500
"",127500,6914500
"",112500,6913500
"",124500,6913500
"",125500,6913500
"",126500,6913500
"",127500,6913500
"",128500,6913500
"",112500,6912500
"",124500,6912500
"",125500,6912500
"",126500,6912500
"",127500,6912500
"",128500,6912500
"",133500,6912500
"",134500,6912500
"",111500,6911500
"",112500,6911500
"",113500,6911500
"",115500,6911500
"",116500,6911500
"",119500,6911500
"",124500,6911500
"",125500,6911500
"",126500,6911500
"",127500,6911500
"",128500,6911500
"",131500,6911500
"",132500,6911500
"",133500,6911500
"",134500,6911500
"",110500,6910500
"",111500,6910500
"",112500,6910500
"",113500,6910500
"",114500,6910500
"",115500,6910500
"",116500,6910500
"",117500,6910500
"",118500,6910500
"",119500,6910500
"",120500,6910500
"",125500,6910500
"",126500,6910500
"",127500,6910500
"",128500,6910500
"",131500,6910500
"",132500,6910500
"",133500,6910500
"",134500,6910500
"",135500,6910500
"",136500,6910500
"",110500,6909500
"",111500,6909500
"",112500,6909500
"",113500,6909500
"",114500,6909500
"",115500,6909500
"",116500,6909500
"",117500,6909500
"",118500,6909500
"",119500,6909500
"",120500,6909500
"",121500,6909500
"",125500,6909500
"",126500,6909500
"",127500,6909500
"",128500,6909500
"",129500,6909500
"",131500,6909500
"",132500,6909500
"",133500,6909500
"",134500,6909500
"",135500,6909500
"",136500,6909500
"",110500,6908500
"",111500,6908500
"",112500,6908500
"",113500,6908500
"",114500,6908500
"",115500,6908500
"",116500,6908500
"",117500,6908500
"",118500,6908500
"",119500,6908500
"",120500,6908500
"",121500,6908500
"",122500,6908500
"",125500,6908500
"",126500,6908500
"",127500,6908500
"",128500,6908500
"",129500,6908500
"",130500,6908500
"",131500,6908500
"",132500,6908500
"",133500,6908500
"",134500,6908500
"",135500,6908500
"",136500,6908500
"",137500,6908500
"",106500,6907500
"",110500,6907500
"",111500,6907500
"",112500,6907500
"",113500,6907500
"",114500,6907500
"",115500,6907500
"",116500,6907500
"",117500,6907500
"",118500,6907500
"",119500,6907500
"",120500,6907500
"",121500,6907500
"",122500,6907500
"",123500,6907500
"",124500,6907500
"",125500,6907500
"",126500,6907500
"",127500,6907500
"",128500,6907500
"",129500,6907500
"",130500,6907500
"",131500,6907500
"",132500,6907500
"",133500,6907500
"",134500,6907500
"",135500,6907500
"",136500,6907500
"",137500,6907500
"",106500,6906500
"",107500,6906500
"",108500,6906500
"",109500,6906500
"",110500,6906500
"",111500,6906500
"",112500,6906500
"",113500,6906500
"",114500,6906500
"",115500,6906500
"",116500,6906500
"",117500,6906500
"",118500,6906500
"",119500,6906500
"",120500,6906500
"",121500,6906500
"",122500,6906500
"",123500,6906500
"",124500,6906500
"",125500,6906500
"",126500,6906500
"",127500,6906500
"",128500,6906500
"",129500,6906500
"",130500,6906500
"",131500,6906500
"",132500,6906500
"",133500,6906500
"",134500,6906500
"",135500,6906500
"",136500,6906500
"",137500,6906500
"",106500,6905500
"",107500,6905500
"",108500,6905500
"",109500,6905500
"",110500,6905500
"",111500,6905500
"",112500,6905500
"",113500,6905500
"",114500,6905500
"",115500,6905500
"",116500,6905500
"",117500,6905500
"",118500,6905500
"",119500,6905500
"",120500,6905500
"",121500,6905500
"",122500,6905500
"",123500,6905500
"",124500,6905500
"",125500,6905500
"",126500,6905500
"",127500,6905500
"",128500,6905500
"",129500,6905500
"",130500,6905500
"",131500,6905500
"",132500,6905500
"",133500,6905500
"",134500,6905500
"",135500,6905500
"",136500,6905500
"",137500,6905500
"",99500,6904500
"",105500,6904500
"",106500,6904500
"",107500,6904500
"",108500,6904500
"",109500,6904500
"",110500,6904500
"",111500,6904500
"",112500,6904500
"",113500,6904500
"",114500,6904500
"",115500,6904500
"",116500,6904500
"",117500,6904500
"",118500,6904500
"",119500,6904500
"",120500,6904500
"",121500,6904500
"",122500,6904500
"",123500,6904500
"",124500,6904500
"",125500,6904500
"",126500,6904500
"",127500,6904500
"",128500,6904500
"",129500,6904500
"",130500,6904500
"",131500,6904500
"",132500,6904500
"",133500,6904500
"",134500,6904500
"",135500,6904500
"",136500,6904500
"",137500,6904500
"",98500,6903500
"",99500,6903500
"",105500,6903500
"",106500,6903500
"",107500,6903500
"",108500,6903500
"",109500,6903500
"",110500,6903500
"",111500,6903500
"",112500,6903500
"",113500,6903500
"",114500,6903500
"",115500,6903500
"",116500,6903500
"",117500,6903500
"",118500,6903500
"",119500,6903500
"",120500,6903500
"",121500,6903500
"",122500,6903500
"",123500,6903500
"",124500,6903500
"",125500,6903500
"",126500,6903500
"",127500,6903500
"",128500,6903500
"",129500,6903500
"",130500,6903500
"",131500,6903500
"",132500,6903500
"",133500,6903500
"",134500,6903500
"",135500,6903500
"",136500,6903500
"",137500,6903500
"",96500,6902500
"",97500,6902500
"",98500,6902500
"",99500,6902500
"",104500,6902500
"",105500,6902500
"",106500,6902500
"",107500,6902500
"",108500,6902500
"",109500,6902500
"",110500,6902500
"",111500,6902500
"",112500,6902500
