Year,Total_Annual
2000,4055603850.202342
2001,2959967759.934729
2002,3184336640.1754093
2003,3339610480.2061005
2004,3389180010.1438575
2005,3992822999.862019
2006,3058734270.1606956
2007,4228641960.3127112
2008,4046569999.8136964
2009,3278064950.044887
2010,2532548950.1312094
2011,4837960300.194234
2012,3366408949.960563
2013,3856061180.0381317
2014,3421441730.156759
2015,3791978010.1125965
2016,3654222340.1531744
2017,4189077420.1458836
2018,3299958929.8253374
2019,3833458249.7394137
2020,4573152026.161285
