"Time (CET/CEST)","BZN|NO4 > BZN|NO3 [MW]","BZN|NO3 > BZN|NO4 [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","34","0"
"01.01.2019 01:00 - 01.01.2019 02:00","0","3"
"01.01.2019 02:00 - 01.01.2019 03:00","0","2"
"01.01.2019 03:00 - 01.01.2019 04:00","5","0"
"01.01.2019 04:00 - 01.01.2019 05:00","26","0"
"01.01.2019 05:00 - 01.01.2019 06:00","28","0"
"01.01.2019 06:00 - 01.01.2019 07:00","0","5"
"01.01.2019 07:00 - 01.01.2019 08:00","0","35"
"01.01.2019 08:00 - 01.01.2019 09:00","0","50"
"01.01.2019 09:00 - 01.01.2019 10:00","0","114"
"01.01.2019 10:00 - 01.01.2019 11:00","0","65"
"01.01.2019 11:00 - 01.01.2019 12:00","0","33"
"01.01.2019 12:00 - 01.01.2019 13:00","3","0"
"01.01.2019 13:00 - 01.01.2019 14:00","1","0"
"01.01.2019 14:00 - 01.01.2019 15:00","47","0"
"01.01.2019 15:00 - 01.01.2019 16:00","84","0"
"01.01.2019 16:00 - 01.01.2019 17:00","77","0"
"01.01.2019 17:00 - 01.01.2019 18:00","83","0"
"01.01.2019 18:00 - 01.01.2019 19:00","83","0"
"01.01.2019 19:00 - 01.01.2019 20:00","98","0"
"01.01.2019 20:00 - 01.01.2019 21:00","80","0"
"01.01.2019 21:00 - 01.01.2019 22:00","61","0"
"01.01.2019 22:00 - 01.01.2019 23:00","61","0"
"01.01.2019 23:00 - 02.01.2019 00:00","10","0"
"02.01.2019 00:00 - 02.01.2019 01:00","0","28"
"02.01.2019 01:00 - 02.01.2019 02:00","0","20"
"02.01.2019 02:00 - 02.01.2019 03:00","5","0"
"02.01.2019 03:00 - 02.01.2019 04:00","20","0"
"02.01.2019 04:00 - 02.01.2019 05:00","32","0"
"02.01.2019 05:00 - 02.01.2019 06:00","34","0"
"02.01.2019 06:00 - 02.01.2019 07:00","188","0"
"02.01.2019 07:00 - 02.01.2019 08:00","390","0"
"02.01.2019 08:00 - 02.01.2019 09:00","550","0"
"02.01.2019 09:00 - 02.01.2019 10:00","620","0"
