"Time (CET/CEST)","BZN|SE2 > BZN|NO3 [MW]","BZN|NO3 > BZN|SE2 [MW]"
"01.01.2016 00:00 - 01.01.2016 01:00","371","0"
"01.01.2016 01:00 - 01.01.2016 02:00","407","0"
"01.01.2016 02:00 - 01.01.2016 03:00","460","0"
"01.01.2016 03:00 - 01.01.2016 04:00","481","0"
"01.01.2016 04:00 - 01.01.2016 05:00","487","0"
"01.01.2016 05:00 - 01.01.2016 06:00","455","0"
"01.01.2016 06:00 - 01.01.2016 07:00","548","0"
"01.01.2016 07:00 - 01.01.2016 08:00","573","0"
"01.01.2016 08:00 - 01.01.2016 09:00","597","0"
"01.01.2016 09:00 - 01.01.2016 10:00","606","0"
"01.01.2016 10:00 - 01.01.2016 11:00","581","0"
"01.01.2016 11:00 - 01.01.2016 12:00","501","0"
"01.01.2016 12:00 - 01.01.2016 13:00","457","0"
"01.01.2016 13:00 - 01.01.2016 14:00","390","0"
"01.01.2016 14:00 - 01.01.2016 15:00","293","0"
"01.01.2016 15:00 - 01.01.2016 16:00","111","0"
"01.01.2016 16:00 - 01.01.2016 17:00","6","0"
"01.01.2016 17:00 - 01.01.2016 18:00","0","18"
"01.01.2016 18:00 - 01.01.2016 19:00","7","0"
"01.01.2016 19:00 - 01.01.2016 20:00","174","0"
"01.01.2016 20:00 - 01.01.2016 21:00","263","0"
"01.01.2016 21:00 - 01.01.2016 22:00","337","0"
"01.01.2016 22:00 - 01.01.2016 23:00","491","0"
"01.01.2016 23:00 - 02.01.2016 00:00","560","0"
"02.01.2016 00:00 - 02.01.2016 01:00","530","0"
"02.01.2016 01:00 - 02.01.2016 02:00","598","0"
"02.01.2016 02:00 - 02.01.2016 03:00","707","0"
"02.01.2016 03:00 - 02.01.2016 04:00","778","0"
"02.01.2016 04:00 - 02.01.2016 05:00","779","0"
"02.01.2016 05:00 - 02.01.2016 06:00","772","0"
"02.01.2016 06:00 - 02.01.2016 07:00","805","0"
"02.01.2016 07:00 - 02.01.2016 08:00","781","0"
"02.01.2016 08:00 - 02.01.2016 09:00","749","0"
"02.01.2016 09:00 - 02.01.2016 10:00","712","0"
"02.01.2016 10:00 - 02.01.2016 11:00","674","0"
"02.01.2016 11:00 - 02.01.2016 12:00","638","0"
"02.01.2016 12:00 - 02.01.2016 13:00","672","0"
"02.01.2016 13:00 - 02.01.2016 14:00","676","0"
"02.01.2016 14:00 - 02.01.2016 15:00","738","0"
"02.01.2016 15:00 - 02.01.2016 16:00","664","0"
"02.01.2016 16:00 - 02.01.2016 17:00","532","0"
"02.01.2016 17:00 - 02.01.2016 18:00","499","0"
"02.01.2016 18:00 - 02.01.2016 19:00","504","0"
"02.01.2016 19:00 - 02.01.2016 20:00","575","0"
"02.01.2016 20:00 - 02.01.2016 21:00","617","0"
"02.01.2016 21:00 - 02.01.2016 22:00","743","0"
"02.01.2016 22:00 - 02.01.2016 23:00","813","0"
"02.01.2016 23:00 - 03.01.2016 00:00","842","0"
"03.01.2016 00:00 - 03.01.2016 01:00","799","0"
"03.01.2016 01:00 - 03.01.2016 02:00","754","0"
"03.01.2016 02:00 - 03.01.2016 03:00","753","0"
"03.01.2016 03:00 - 03.01.2016 04:00","771","0"
"03.01.2016 04:00 - 03.01.2016 05:00","757","0"
"03.01.2016 05:00 - 03.01.2016 06:00","754","0"
"03.01.2016 06:00 - 03.01.2016 07:00","789","0"
"03.01.2016 07:00 - 03.01.2016 08:00","806","0"
"03.01.2016 08:00 - 03.01.2016 09:00","778","0"
"03.01.2016 09:00 - 03.01.2016 10:00","691","0"
"03.01.2016 10:00 - 03.01.2016 11:00","535","0"
"03.01.2016 11:00 - 03.01.2016 12:00","399","0"
"03.01.2016 12:00 - 03.01.2016 13:00","347","0"
"03.01.2016 13:00 - 03.01.2016 14:00","417","0"
"03.01.2016 14:00 - 03.01.2016 15:00","422","0"
