Time,Reservoir volume (millioner m³)
1/1/1960,
1/2/1960,40.99311
1/3/1960,
1/4/1960,39.51812
1/5/1960,
1/6/1960,
1/7/1960,37.51196
1/8/1960,
1/9/1960,36.56812
1/10/1960,
1/11/1960,35.26993
1/12/1960,
1/13/1960,
1/14/1960,33.27612
1/15/1960,
1/16/1960,32.04395
1/17/1960,
1/18/1960,30.75605
1/19/1960,
1/20/1960,
1/21/1960,28.74014
1/22/1960,
1/23/1960,27.37013
1/24/1960,
1/25/1960,25.99208
1/26/1960,
1/27/1960,
1/28/1960,23.925
1/29/1960,
1/30/1960,21.84988
1/31/1960,
2/1/1960,20.59988
2/2/1960,
2/3/1960,
2/4/1960,18.55001
2/5/1960,
2/6/1960,17.22392
2/7/1960,
2/8/1960,15.86102
2/9/1960,
2/10/1960,
2/11/1960,14.075
2/12/1960,
2/13/1960,12.62401
2/14/1960,
2/15/1960,11.42797
2/16/1960,
2/17/1960,
2/18/1960,9.35791
2/19/1960,
2/20/1960,7.998969
2/21/1960,
2/22/1960,6.709021
2/23/1960,
2/24/1960,5.246905
2/25/1960,
2/26/1960,4
2/27/1960,3.439941
2/28/1960,2.719971
2/29/1960,
3/1/1960,
3/2/1960,1.280029
3/3/1960,
3/4/1960,0.7199707
3/5/1960,0.5600586
3/6/1960,
3/7/1960,0.3200684
3/8/1960,
3/9/1960,0.1599121
3/10/1960,
3/11/1960,
3/12/1960,-0.1599121
3/13/1960,
3/14/1960,
3/15/1960,-0.3200684
3/16/1960,
3/17/1960,-0.3601074
3/18/1960,
3/19/1960,-0.4799805
3/20/1960,
3/21/1960,-0.5600586
3/22/1960,
3/23/1960,
3/24/1960,-0.6000977
3/25/1960,
3/26/1960,-0.6799316
3/27/1960,
3/28/1960,-0.7199707
3/29/1960,
3/30/1960,
3/31/1960,-0.7199707
4/1/1960,
4/2/1960,-0.7199707
4/3/1960,
4/4/1960,-0.7199707
4/5/1960,
4/6/1960,
4/7/1960,-0.7600098
4/8/1960,
4/9/1960,-0.7600098
4/10/1960,
4/11/1960,-0.8000488
4/12/1960,
4/13/1960,
4/14/1960,-0.7600098
4/15/1960,
4/16/1960,-0.7600098
4/17/1960,
4/18/1960,-0.7600098
4/19/1960,
4/20/1960,
4/21/1960,-0.7199707
4/22/1960,
4/23/1960,-0.6398926
4/24/1960,
4/25/1960,-0.6000977
4/26/1960,
4/27/1960,
4/28/1960,-0.6000977
4/29/1960,
4/30/1960,-0.5600586
5/1/1960,
5/2/1960,-0.5200195
5/3/1960,
5/4/1960,
5/5/1960,-0.4799805
5/6/1960,
5/7/1960,-0.4399414
5/8/1960,
5/9/1960,
5/10/1960,-0.1201172
5/11/1960,
5/12/1960,1.399902
5/13/1960,
5/14/1960,2.320068
5/15/1960,
5/16/1960,3.199951
5/17/1960,
5/18/1960,
5/19/1960,6.364947
5/20/1960,
5/21/1960,8.3
5/22/1960,8.668078
5/23/1960,
5/24/1960,8.805933
5/25/1960,10.87599
5/26/1960,11.65791
5/27/1960,
5/28/1960,14.92097
5/29/1960,
5/30/1960,19.00015
5/31/1960,20.69998
6/1/1960,
6/2/1960,23.50091
6/3/1960,
6/4/1960,25.67409
6/5/1960,
6/6/1960,
6/7/1960,31.25986
6/8/1960,
6/9/1960,35.38804
6/10/1960,
6/11/1960,37.03986
6/12/1960,
6/13/1960,39.16413
6/14/1960,
6/15/1960,
6/16/1960,41.3471
6/17/1960,
6/18/1960,42.52717
6/19/1960,
6/20/1960,45.3
6/21/1960,
6/22/1960,
6/23/1960,47.03987
6/24/1960,
6/25/1960,48.11982
6/26/1960,
6/27/1960,51.72704
6/28/1960,
6/29/1960,
6/30/1960,54.65493
7/1/1960,
7/2/1960,55.32584
7/3/1960,
7/4/1960,55.57008
7/5/1960,
7/6/1960,
7/7/1960,55.50901
7/8/1960,
7/9/1960,56.11887
7/10/1960,
7/11/1960,56.79015
7/12/1960,
7/13/1960,
7/14/1960,57.89611
7/15/1960,
7/16/1960,58.64008
7/17/1960,
7/18/1960,59.38404
7/19/1960,
7/20/1960,
7/21/1960,61.55389
7/22/1960,
7/23/1960,62.35992
7/24/1960,
7/25/1960,
7/26/1960,63.35213
7/27/1960,
7/28/1960,63.85586
7/29/1960,
7/30/1960,64.36797
7/31/1960,
8/1/1960,64.94414
8/2/1960,
8/3/1960,
8/4/1960,65.2
8/5/1960,
8/6/1960,66.35195
8/7/1960,
8/8/1960,66.99219
8/9/1960,
8/10/1960,
8/11/1960,67.69609
8/12/1960,
8/13/1960,68.46407
8/14/1960,
8/15/1960,68.71992
8/16/1960,
8/17/1960,68.20781
8/18/1960,67.95195
8/19/1960,
8/20/1960,68.01601
8/21/1960,
8/22/1960,68.14414
8/23/1960,68.27187
8/24/1960,
8/25/1960,68.71992
8/26/1960,
8/27/1960,68.91211
8/28/1960,
8/29/1960,69.03984
8/30/1960,
8/31/1960,
9/1/1960,69.16797
9/2/1960,
9/3/1960,69.03984
9/4/1960,68.78398
9/5/1960,69.23203
9/6/1960,69.1039
9/7/1960,69.55196
9/8/1960,
9/9/1960,70
9/10/1960,69.74414
9/11/1960,
9/12/1960,
9/13/1960,68.91211
9/14/1960,
9/15/1960,69.16797
9/16/1960,
9/17/1960,69.2961
9/18/1960,
9/19/1960,69.42383
9/20/1960,
9/21/1960,
9/22/1960,69.48789
9/23/1960,
9/24/1960,69.80782
9/25/1960,70.06406
9/26/1960,69.68008
9/27/1960,69.80782
9/28/1960,69.93594
9/29/1960,
9/30/1960,
10/1/1960,69.87187
10/2/1960,
10/3/1960,70.12813
10/4/1960,
10/5/1960,69.93594
10/6/1960,69.87187
10/7/1960,70
10/8/1960,70
10/9/1960,69.93594
10/10/1960,69.87187
10/11/1960,69.80782
10/12/1960,69.68008
10/13/1960,69.55196
10/14/1960,69.48789
10/15/1960,69.48789
10/16/1960,69.42383
10/17/1960,69.36015
10/18/1960,69.2961
10/19/1960,69.23203
10/20/1960,69.16797
10/21/1960,69.1039
10/22/1960,69.03984
10/23/1960,69.03984
10/24/1960,68.97617
10/25/1960,68.84805
10/26/1960,68.71992
10/27/1960,68.65586
10/28/1960,68.59219
10/29/1960,68.52812
10/30/1960,68.4
10/31/1960,68.33594
11/1/1960,68.27187
11/2/1960,68.20781
11/3/1960,68.20781
11/4/1960,68.14414
11/5/1960,68.14414
11/6/1960,68.08008
11/7/1960,68.01601
11/8/1960,67.95195
11/9/1960,
11/10/1960,67.76015
11/11/1960,
11/12/1960,67.63203
11/13/1960,
11/14/1960,67.37617
11/15/1960,
11/16/1960,66.92812
11/17/1960,66.73594
11/18/1960,66.41602
11/19/1960,66.16016
11/20/1960,
11/21/1960,65.26406
11/22/1960,64.88007
