Date,Discharge (m³/s)
1/1/1990,49.90022
2/1/1990,49.31253
3/1/1990,49.31253
4/1/1990,49.31253
5/1/1990,49.31253
6/1/1990,49.31253
7/1/1990,48.13997
8/1/1990,48.13997
9/1/1990,48.13997
10/1/1990,48.13997
11/1/1990,48.13997
12/1/1990,47.55512
13-01-90,45.80639
14-01-90,46.97123
15-01-90,46.97123
16-01-90,46.97123
17-01-90,46.97123
18-01-90,46.97123
19-01-90,46.97123
20-01-90,47.55512
21-01-90,49.90022
22-01-90,51.0784
23-01-90,51.66887
24-01-90,51.66887
25-01-90,51.66887
26-01-90,51.0784
27-01-90,51.0784
28-01-90,51.0784
29-01-90,51.0784
30-01-90,49.90022
31-01-90,49.90022
1/2/1990,49.90022
2/2/1990,51.0784
3/2/1990,51.0784
4/2/1990,51.0784
5/2/1990,51.0784
6/2/1990,57.62221
7/2/1990,67.31951
8/2/1990,69.7746
9/2/1990,68.54558
10/2/1990,63.65942
11/2/1990,58.82314
12/2/1990,55.8271
13-02-90,53.44567
14-02-90,51.0784
15-02-90,48.13997
16-02-90,47.55512
17-02-90,45.80639
18-02-90,45.80639
19-02-90,45.80639
20-02-90,48.72578
21-02-90,54.03971
22-02-90,54.63464
23-02-90,55.8271
24-02-90,58.82314
25-02-90,60.02738
26-02-90,58.22226
27-02-90,55.8271
28-02-90,52.8525
1/3/1990,49.90022
2/3/1990,48.72578
3/3/1990,47.55512
4/3/1990,48.72578
5/3/1990,47.55512
6/3/1990,46.97123
7/3/1990,44.6455
8/3/1990,44.06657
9/3/1990,44.6455
10/3/1990,45.80639
11/3/1990,45.22544
12/3/1990,46.38832
13-03-90,44.6455
14-03-90,44.06657
15-03-90,43.48866
16-03-90,45.80639
17-03-90,54.03971
18-03-90,62.44556
19-03-90,80.16673
20-03-90,115.8077
21-03-90,129.3962
22-03-90,123.136
23-03-90,107.5133
24-03-90,92.84558
25-03-90,82.22194
26-03-90,69.15972
27-03-90,64.26752
28-03-90,60.63072
29-03-90,58.22226
30-03-90,57.02299
31-03-90,52.8525
1/4/1990,54.63464
2/4/1990,56.42462
3/4/1990,58.22226
4/4/1990,58.82314
5/4/1990,55.8271
6/4/1990,51.0784
7/4/1990,51.0784
8/4/1990,48.72578
9/4/1990,45.22544
10/4/1990,42.91177
11/4/1990,43.48866
12/4/1990,42.33593
13-04-90,41.76114
14-04-90,40.61474
15-04-90,42.33593
16-04-90,42.33593
17-04-90,42.33593
18-04-90,41.76114
19-04-90,41.1874
20-04-90,41.76114
21-04-90,40.61474
22-04-90,39.47267
23-04-90,40.04316
24-04-90,42.33593
25-04-90,46.97123
26-04-90,54.63464
27-04-90,60.02738
28-04-90,61.23487
29-04-90,58.22226
30-04-90,63.65942
1/5/1990,95.0394
2/5/1990,151.713
3/5/1990,207.2582
4/5/1990,254.7863
5/5/1990,279.2903
6/5/1990,282.8728
7/5/1990,291.9185
8/5/1990,310.3911
9/5/1990,321.7175
10/5/1990,321.7175
11/5/1990,314.1463
12/5/1990,302.9412
13-05-90,290.0992
14-05-90,275.7281
15-05-90,263.4221
16-05-90,249.6668
17-05-90,234.5878
18-05-90,208.8239
19-05-90,182.9285
20-05-90,162.7617
21-05-90,151.713
22-05-90,143.6553
23-05-90,135.795
24-05-90,128.1331
25-05-90,115.8077
26-05-90,106.3509
27-05-90,95.0394
28-05-90,85.34834
29-05-90,81.19142
30-05-90,83.25827
31-05-90,93.93962
1/6/1990,114.6059
2/6/1990,141.0132
3/6/1990,175.6052
4/6/1990,256.5032
5/6/1990,344.9136
6/6/1990,379.006
7/6/1990,399.7296
8/6/1990,449.2576
9/6/1990,473.8562
10/6/1990,487.5205
11/6/1990,485.231
12/6/1990,482.9464
13-06-90,471.5957
14-06-90,429.569
15-06-90,401.829
16-06-90,403.9334
17-06-90,416.663
18-06-90,408.157
19-06-90,385.1712
20-06-90,395.5453
21-06-90,462.6023
22-06-90,527.1767
23-06-90,578.0706
24-06-90,628.4831
25-06-90,578.0706
26-06-90,492.1138
27-06-90,423.094
28-06-90,372.8853
29-06-90,352.8059
30-06-90,346.8792
1/7/1990,329.3692
2/7/1990,333.2252
3/7/1990,366.8093
4/7/1990,360.778
5/7/1990,323.6229
6/7/1990,286.4758
7/7/1990,275.7281
8/7/1990,302.9412
9/7/1990,306.656
10/7/1990,290.0992
11/7/1990,277.5066
12/7/1990,286.4758
13-07-90,299.2466
14-07-90,275.7281
15-07-90,236.2425
16-07-90,216.7309
17-07-90,234.5878
18-07-90,279.2903
19-07-90,317.9218
20-07-90,333.2252
21-07-90,319.8172
22-07-90,312.2662
23-07-90,304.7961
24-07-90,275.7281
25-07-90,261.6846
26-07-90,273.9547
27-07-90,288.2849
28-07-90,299.2466
29-07-90,312.2662
30-07-90,356.782
31-07-90,376.9608
1/8/1990,356.782
2/8/1990,329.3692
3/8/1990,321.7175
4/8/1990,387.2362
5/8/1990,492.1138
