Year,Import,Export,Storage,Consumption,Production
2000,9843.209977,1838.7499438908333,413253.3968,208908.2425166126,4528058
2001,9788.841775,1555.7233755855896,413253.3968,206664.29076748824,4528058
2002,9633.8324,1578.8257962660778,413253.3968,205673.02830910296,6207088
2003,9516.395875,1630.6352037607212,413253.3968,204433.63343146976,5931347
2004,9453.06259,1687.5356694839322,413253.3968,207009.5935077245,5310517
2005,9330.017905,1898.776069017432,413253.3968,209802.0723026776,4385047
2006,9240.286968,1939.7321063656798,413253.3968,209914.1437963035,6312997
2007,9073.757519,1755.517893274277,413253.3968,208591.36664061985,4973754
2008,8877.797099,1627.6111066891256,413253.3968,209518.5559392747,5727781
2009,8754.915617,1546.7367749344974,413253.3968,207099.0044574545,5269935
2010,8621.052502,1608.4667546015949,413253.3968,202263.88808271583,5729598
2011,8523.049627,1496.1184548734727,413253.3968,211713.7709706024,5220503
2012,8411.524692,1637.6007473360685,413253.3968,209447.1884838273,4041127
2013,8253.531162,1874.5969223864442,413253.3968,206945.5482993045,5687060
2014,8148.03649,2229.525935237162,413253.3968,210424.2858332549,6504585
2015,8047.874321,2383.2783018708337,413253.3968,211470.08478293708,4069921
2016,7929.031666,2488.496694855027,413253.3968,209627.6817539973,5477781
2017,7855.375005,2489.3599752625714,413253.3968,210303.3223961621,4688686
2018,7753.128713,2286.336255314165,413253.3968,208299.15328990345,7282586
2019,7616.666539,2569.171327,413253.3968,211176.46397500543,5511358
2020,7505.998314,2303.881328,413253.3968,211209.3508738946,5312623
