Year,Species,Above_Ground_Biomass_t,Below_Ground_Biomass_t,Total_Biomass_t,Timber_Yield_t,Wood_Chip_t,Total_Yield_t
2000,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2001,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2002,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2003,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2004,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2005,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2006,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2007,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2008,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2009,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2010,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2011,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2012,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2013,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2014,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2015,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2016,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2017,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2018,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2019,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2020,Norway Spruce,72523.01056,14504.602112,87027.61267199999,34520.95302656,8630.238256639997,43151.191283199994
2000,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2001,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2002,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2003,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2004,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2005,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2006,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2007,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2008,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2009,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2010,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2011,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2012,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2013,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2014,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2015,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2016,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2017,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2018,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2019,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2020,Scots Pine,210197.05344,42039.410688,252236.464128,87441.97423104,21860.493557759994,109302.4677888
2000,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2001,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2002,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2003,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2004,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2005,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2006,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2007,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2008,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2009,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2010,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2011,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2012,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2013,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2014,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2015,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2016,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2017,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2018,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2019,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
2020,Birch,58300.4749824,11660.09499648,69960.56997888,20988.170993664,5247.042748415999,26235.21374208
