Year,Total_Consumption (t)
2000,208908.2425166126
2001,206664.29076748824
2002,205673.02830910299
2003,204433.63343146976
2004,207009.59350772452
2005,209802.0723026776
2006,209914.1437963035
2007,208591.36664061985
2008,209518.5559392747
2009,207099.0044574545
2010,202263.88808271583
2011,211713.77097060237
2012,209447.18848382734
2013,206945.5482993045
2014,210424.28583325486
2015,211470.08478293708
2016,209627.68175399734
2017,210303.3223961621
2018,208299.15328990342
2019,211176.46397500543
2020,211209.3508738946
