Year,Total_Residue (t)
2000,47813.14491176
2001,46916.39544738174
2002,46521.324111375274
2003,46022.86752449974
2004,47053.32971659236
2005,48172.59140223175
2006,48218.594245208966
2007,47688.42533090054
2008,48059.34964952951
2009,47091.3041786668
2010,45157.520224134394
2011,48934.873097378666
2012,48023.973029683766
2013,47021.645467203925
2014,48417.27010129243
2015,48830.85708129815
2016,48100.686267457626
2017,48367.5270694388
2018,47572.4671868827
2019,48719.173994065946
2020,48734.205617698055
