Year,Consumption,Import,Export,Production,Storage
2000,367.5022084373654,394.27160000000003,607.5736,1127.9571985087648,1116.5992917838594
2001,368.5065136127729,394.27160000000003,607.5736,1114.534571930187,930.9492674820312
2002,368.1390848895348,394.27160000000003,607.5736,1054.26089606544,1060.1085636027678
2003,364.562778656044,394.27160000000003,607.5736,1053.5200212444452,986.7862655053516
2004,362.1132538377979,394.27160000000003,607.5736,1165.826877902325,1039.7668468758895
2005,361.96628234880126,394.27160000000003,607.5736,1078.2972768563702,995.0579766075339
2006,359.9086815016876,394.27160000000003,607.5736,1102.658084609964,889.092490088515
2007,359.5902432711325,394.27160000000003,607.5736,1152.7767191191651,1049.322264609493
2008,357.3366804428388,394.27160000000003,607.5736,1107.2921827093198,1042.1730459793937
2009,354.20128867591643,394.27160000000003,607.5736,1016.3075095145864,824.1900060705681
2010,353.5889074716494,394.27160000000003,607.5736,984.7994153363564,816.1048705361189
2011,352.6335927911392,394.27160000000003,607.5736,1028.166077701419,949.8049478768683
2012,353.27046924505646,394.27160000000003,607.5736,1012.8319760151,914.3070508048403
2013,353.2214787670938,394.27160000000003,607.5736,1003.2568066772026,1002.9972553583578
2014,350.55149669796583,394.27160000000003,607.5736,1100.5554018824253,1076.1098391689914
2015,349.91462024447253,394.27160000000003,607.5736,1097.6554605395852,930.0588143895031
2016,348.8368293184194,527.9476,607.2196,1067.23815220962,987.9269873331414
2017,346.6077617398767,477.58140000000003,637.1892,1080.0944980506151,1072.695722682185
2018,345.82391379837884,330.99620000000004,828.4217000000001,1167.5752332149852,1107.0646828965605
2019,343.42337947702845,435.809,815.1373,1135.3364930739751,1111.7471252384103
2020,339.871568490144,589.0826000000001,579.4476,1068.3729837658502,1067.4693252629068
