Year,Month,Day,Julian_Day,Tafjord6_Daily_Production,Raudberget_Daily_Production,Framruste_Daily_Production,Oyberget_Daily_Production,Skjak1_Daily_Production,Graffer_Daily_Production,Smodola_Daily_Production,OvreTessa_Daily_Production,MidreTessa_Daily_Production,NedreTessa1_Daily_Production,NedreTessa2_Daily_Production,Eidefoss _Daily_Production,NedreOtta_Daily_Production,EidefossBiovarme_Daily_Production,Total_Production
2000,2384,5767,67161,7.1150400000000005,-15.02064,171.99802750824,41.432592140415004,139.25852285247,13.044239999999999,54.153360000000006,68.66343619596,61.57225009008,56.38357732968,137.32687239192,52.176959999999994,308.3184,38.64960000000001,1127.9571985087648
2001,2382,5738,66795,7.095600000000001,-14.9796,202.080099522312,32.96582098425,107.6262842628,13.0086,54.0054,68.202939755925,61.159311216899994,56.005436676150005,136.40587951185,52.0344,307.476,38.544000000000004,1114.534571930187
2002,2382,5738,66795,7.095600000000001,-14.9796,172.71320375151,29.15653339116,97.77172898412,13.0086,54.0054,64.54813672485001,57.88195635779999,53.0042634063,129.09627344970002,52.0344,307.476,38.544000000000004,1054.26089606544
2003,2382,5738,66795,7.095600000000001,-14.9796,166.65245489231998,21.688381222874998,114.35669666999999,13.0086,54.0054,63.74333919825001,57.160273941,52.3433969235,127.48667839650003,52.0344,307.476,38.544000000000004,1053.5200212444452
2004,2384,5767,67161,7.1150400000000005,-15.02064,189.6247736172,42.79808271231,160.72241051025,13.044239999999999,54.153360000000006,68.115214816785,61.08064603218,55.93340058003,136.23042963357,52.176959999999994,308.3184,38.64960000000001,1165.826877902325
2005,2382,5738,66795,7.095600000000001,-14.9796,179.99474963058,30.478424380605002,111.383272370835,13.0086,54.0054,64.93419973215,58.228148878199995,53.3212823997,129.8683994643,52.0344,307.476,38.544000000000004,1078.2972768563702
2006,2382,5738,66795,7.095600000000001,-14.9796,177.618178886544,34.370890819020005,113.6201909184,13.0086,54.0054,69.302258154,62.145097992,56.908151532,138.604516308,52.0344,307.476,38.544000000000004,1102.6580846099641
2007,2382,5738,66795,7.095600000000001,-14.9796,213.93235898208002,34.70309978103,122.708754977355,13.0086,54.0054,70.2314207343,62.9783017164,57.6711414594,140.4628414686,52.0344,307.476,38.544000000000004,1152.7767191191651
2008,2384,5767,67161,7.1150400000000005,-15.02064,165.85828233821996,38.306858256000005,128.507023382715,13.044239999999999,54.153360000000006,68.526078588765,61.44907802922,56.27078493687001,137.05215717753,52.176959999999994,308.3184,38.64960000000001,1107.2921827093198
2009,2382,5738,66795,7.095600000000001,-14.9796,67.79259308178901,35.94923137125,134.02263215289736,13.0086,54.0054,69.61897405485,62.4291051978,57.1682255463,139.2379481097,52.0344,307.476,38.544000000000004,1016.3075095145863
2010,2382,5738,66795,7.095600000000001,-14.9796,72.03615497570699,34.01670746420999,105.896044856475,13.0086,54.0054,68.4123855268905,61.347126568194,56.177424891099,136.824771053781,52.0344,307.476,38.544000000000004,984.7994153363564
2011,2382,5738,66795,7.095600000000001,-14.9796,82.503656786754,41.1968535624,127.41167868061501,13.0086,54.0054,69.30333166185001,62.1460606338,56.9090330523,138.60666332370002,52.0344,307.476,38.544000000000004,1028.166077701419
2012,2384,5767,67161,7.1150400000000005,-15.02064,92.98549762312501,37.98007554231,122.269153803165,13.044239999999999,54.153360000000006,65.34186098850002,58.593709098,53.65603698300001,130.68372197700003,52.176959999999994,308.3184,38.64960000000001,1012.8319760150999
2013,2382,5738,66795,7.095600000000001,-14.9796,103.467338454285,36.237814996455,106.1478421844625,13.0086,54.0054,65.13831253800001,58.411182024,53.488891404,130.27662507600002,52.0344,307.476,38.544000000000004,1003.2568066772026
2014,2382,5738,66795,7.095600000000001,-14.9796,188.86686748659002,35.644996171935,106.35644343555,13.0086,54.0054,67.74187027815,60.74585848619999,55.62682546770001,135.4837405563,52.0344,307.476,38.544000000000004,1100.5554018824253
2015,2382,5738,66795,7.095600000000001,-14.9796,170.01451225980003,36.75616951212,124.424842001715,13.0086,54.0054,67.05784372455,60.1324744734,55.0651311189,134.1156874491,52.0344,307.476,38.544000000000004,1097.6554605395852
2016,2384,5767,67161,7.1150400000000005,-15.02064,161.26330810284003,35.30354030055,115.60468536423,13.044239999999999,54.153360000000006,64.381551138,57.732574824,52.86747020400001,128.763102276,52.176959999999994,308.3184,38.64960000000001,1067.23815220962
2017,2382,5738,66795,7.095600000000001,-14.9796,173.60061427944,36.868059681030005,110.796302773395,13.0086,54.0054,65.44050526575,58.682165931,53.7370395885,130.8810105315,52.0344,307.476,38.544000000000004,1080.0944980506151
2018,2382,5738,66795,7.095600000000001,-14.9796,202.6927015974,47.643374554110004,148.368722228505,13.0086,54.0054,67.56877150533,60.59063641284,55.48468390614,135.13754301066,52.0344,307.476,38.544000000000004,1167.5752332149852
2019,2382,5738,66795,7.095600000000001,-14.9796,169.20054853614002,43.671181001535004,133.4508409503,13.0086,54.0054,71.83837355400001,64.419297192,58.99070473200001,143.67674710800003,52.0344,307.476,38.544000000000004,1135.3364930739751
2020,2372,5736,66795,7.095600000000001,-14.9796,158.6396433906,34.4084668713,113.47742662019999,13.0086,54.0054,66.08018302875001,59.255781255,54.26231654250001,132.16036605750003,52.0344,307.476,38.544000000000004,1068.3729837658502
