Year,Month,Day,Julian_Day,1_Hold_Energy,2_Hold_Energy,4_Hold_Energy,5_Hold_Energy
2000,2384,5767,67161,321.1707428155768,392.4450770389905,213.09697822976014,189.88649369953208
2001,2382,5738,66795,298.9117207337812,317.8849175955069,140.52787662175882,173.62475253098427
2002,2382,5738,66795,298.3808920643085,392.3681506882331,180.9660389592601,188.39348189096617
2003,2382,5738,66795,294.33540530376933,356.9995860222743,177.72108488720315,157.73018929210488
2004,2384,5767,67161,322.66897139132146,358.81024176333085,196.58506075945593,161.70257296178127
2005,2382,5738,66795,285.4742642004244,357.09496309632357,191.39401050769493,161.09473880309093
2006,2382,5738,66795,262.88462955080877,327.1759914665418,141.042016080782,157.98985299038233
2007,2382,5738,66795,311.66264030803126,353.481902184234,200.74042160309455,183.43730051413317
2008,2384,5767,67161,295.1313704354534,350.47290774055455,202.45406243148108,194.11470537190462
2009,2382,5738,66795,291.15663001513803,178.6975005078866,182.63228868177586,171.70358686576753
2010,2382,5738,66795,288.0445403219002,210.62513151320275,147.04822304755945,170.3869756534566
2011,2382,5738,66795,306.9204082834525,242.5527625185189,208.71744613390595,191.61433094099098
2012,2384,5767,67161,286.2389939383934,274.4803935238351,173.32380115701466,180.26386218559708
2013,2382,5738,66795,305.9589501326653,306.49549749080967,183.70718001489152,206.83562771999146
2014,2382,5738,66795,304.8943454096403,394.3798302178067,188.47958658923318,188.35607695231104
2015,2382,5738,66795,280.32125808596027,312.8881741816821,174.87734050213072,161.9720416197301
2016,2384,5767,67161,297.6743128565088,346.49464512867195,166.42096371146684,177.33706563649383
2017,2382,5738,66795,311.91161471390336,371.82435149528163,204.49582400120931,184.46393247179103
2018,2382,5738,66795,324.93795910069093,410.55295990166337,180.71088812113697,190.86287577306922
2019,2382,5738,66795,315.9569705981461,384.7705461372073,215.83374731420412,195.18586118885287
2020,2372,5736,66795,293.7037311615736,379.95386265642395,199.91861659936006,193.89311484554898
