Year,Import,Export,Consumption,Storage,Precipitation
2000,315576000,4734977792.096,2820303913.2500496,2471943438.346339,4055603850.202342
2001,315576000,3530536425.216,2400541069.268465,2445711679.894466,2959967759.934729
2002,315576000,4314258269.984,2972487284.2586517,2451998256.95548,3184336640.1754093
2003,315576000,3494147845.536,4358353628.267165,2432187065.200685,3339610480.2061005
2004,315576000,3584065591.68,3618374215.0518007,2447688059.4773226,3389180010.143857
2005,315576000,4815051796.96,2652402273.2516274,2457951592.612192,3992822999.862019
2006,315576000,3387130572.768,3029333804.1718745,2444346023.6213155,3058734270.160696
2007,315576000,4686852278.176,3306409884.1628737,2471030062.520685,4228641960.3127112
2008,315576000,4181729060.672,2384063340.0803246,2450939630.829781,4046569999.813696
2009,315576000,3951079557.024,2867463674.3024564,2412721704.803937,3278064950.044887
2010,315576000,3374164468.5632,2365318523.578421,2416195930.252767,2532548950.1312094
2011,315576000,4688868933.536,2208630569.5231824,2444256194.0524936,4837960300.194234
2012,315576000,4037902114.784,1479863029.5047565,2453244297.171011,3366408949.960563
2013,315576000,4016805803.9456,2550042799.2581925,2467296404.2292333,3856061180.038132
2014,315576000,4329083529.312,2049246042.9765055,2462343054.2479453,3421441730.156759
2015,315576000,3614741548.064,2188324753.329149,2436553298.9764385,3791978010.112597
2016,315576000,3798836397.408,2339428032.334501,2435517175.07459,3654222340.1531744
2017,315576000,4016470794.048,2113209395.2489,2451244851.3347945,4189077420.145884
2018,315576000,4588843171.136,3010748799.1568336,2454787940.303836,3299958929.8253374
2019,315576000,3846686518.4,1929023578.573892,2458907575.835891,3833458249.7394137
2020,315576000,4581193075.872,2216926098.488772,2473857389.369863,4573152026.161285
