Year,Total_Volume
2000,2471943438.346339
2001,2445711679.894466
2002,2451998256.9554796
2003,2432187065.200685
2004,2447688059.4773226
2005,2457951592.612192
2006,2444346023.6213155
2007,2471030062.520685
2008,2450939630.8297815
2009,2412721704.803937
2010,2416195930.252767
2011,2444256194.0524936
2012,2453244297.171011
2013,2467296404.2292333
2014,2462343054.2479453
2015,2436553298.9764385
2016,2435517175.07459
2017,2451244851.3347945
2018,2454787940.303836
2019,2458907575.835891
2020,2473857389.369863
